type,ref_char,pred_char,count
substitution,ر,د,37
substitution,ب,ی,32
substitution,د,ر,32
substitution,ن,ت,31
substitution,ت,ن,31
substitution,پ,ی,31
substitution,ی,ہ,29
substitution,ا, ,26
substitution,ا,آ,25
substitution, ,۔,24
substitution,ہ,ی,23
substitution,ر, ,23
substitution,ب,پ,23
substitution,۔, ,22
substitution, ,ا,22
substitution,.,۔,21
substitution,ج,چ,19
substitution,م,ح,19
substitution,ف,ق,18
substitution,د,و,17
substitution,ع,م,16
substitution, ,و,16
substitution,گ,ک,15
substitution,ی,پ,15
substitution,و,ر,15
substitution,ز,ر,15
substitution, ,ر,14
substitution,ب,ج,14
substitution,ح,م,14
substitution,ی,ب,14
substitution,ا,ر,14
substitution,ہ,م,13
substitution,ہ,ر,13
substitution,ئ,ی,13
substitution,ف,خ,13
substitution,', ,13
substitution,پ,ب,12
substitution,ہ,س,12
substitution,ر,و,12
substitution,ا,ل,12
substitution,ر,ز,12
substitution,ی,ے,12
substitution,ب,ہ,12
substitution,آ,ا,12
substitution,ل,ر,12
substitution,س,ی,11
substitution,ہ,ب,11
substitution,و,ی,11
substitution,م,ہ,11
substitution,ی,ئ,11
substitution, ,ی,11
substitution,ک,گ,11
substitution,ئ,ت,11
substitution,ص,م,11
substitution,ی,ل,10
substitution,م,س,10
substitution,ے,ی,10
substitution,ٹ,ت,10
substitution,ق,ت,10
substitution,پ,ہ,10
substitution,،, ,10
substitution,د, ,9
substitution,ن,ش,9
substitution,چ,ج,9
substitution,م, ,9
substitution,و,د,9
substitution, ,،,9
substitution,ن,ں,9
substitution,ع,ص,9
substitution,و, ,9
substitution,خ,ح,9
substitution,ہ,پ,8
substitution,ب,م,8
substitution,ر,ا,8
substitution,ی, ,8
substitution,ل,ا,8
substitution,ق,ف,8
substitution,م,ص,8
substitution,د,ہ,8
substitution,ل,ک,8
substitution,ض,ف,8
substitution,ل,ی,7
substitution,س,ک,7
substitution,ل,ہ,7
substitution,(,ا,7
substitution,',،,7
substitution,ف,ن,7
substitution,م,ل,7
substitution,ی,س,7
substitution,س,م,7
substitution,ئ, ,7
substitution,ٹ,ئ,7
substitution,ٹ,ن,7
substitution,ا,ی,7
substitution,ل, ,7
substitution,خ,ف,7
substitution,ئ,ن,7
substitution,ا,د,7
substitution,ا,م,7
substitution,س,ن,7
substitution,ی,ھ,7
substitution,ج,م,7
substitution,ل,ﷲ,7
substitution,ن,ف,7
substitution,ن,ل,6
substitution,ج,ح,6
substitution,ن,ز,6
substitution,ح,ج,6
substitution,ش,ت,6
substitution,ت,ق,6
substitution,ہ,ھ,6
substitution,ح,خ,6
substitution,ی,م,6
substitution, ,س,6
substitution,ل,ں,6
substitution,ت,ک,6
substitution,ر,ہ,6
substitution,م,ھ,6
substitution,ن,ی,6
substitution,ک, ,6
substitution,"""",',6
substitution,ض,ص,6
substitution,ک,ل,6
substitution,ل,و,6
substitution,ی,ن,6
substitution,م,ع,5
substitution,ن,ب,5
substitution,ن, ,5
